Journal Name,Publisher,APC,Review Time,Scopus Status,Source URL
Breathe,European Respiratory Society,Free (MU Directory),Not Available,Indexed (Source File),https://breathe.ersjournals.com/
Journal of Pancreatology,Wolters Kluwer Health/LWW,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/jpancreatology/pages/default.aspx
Central Asian Journal of Global Health,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Not Indexed,http://cajgh.pitt.edu/
Spine Surgery and Related Research,The Japanese Society for Spine Surgery and Related Research,No APC (DOAJ),Not Available,Indexed (Source File),http://ssrr-journal.jp/
NSW Public Health Bulletin,Sax Institute,No APC (DOAJ),Not Available,Not Indexed,http://www.phrp.com.au/
POCUS Journal,CINQUILL Medical Publishers Inc.,No APC (DOAJ),Not Available,Not Indexed,https://pocusjournal.com/
Health Technology Assessment,NIHR Journals Library,Free (MU Directory),Not Available,Indexed (Source File),https://www.journalslibrary.nihr.ac.uk/hta/
The Ochsner Journal,Ochsner Clinic Foundation,No APC (DOAJ),Not Available,Not Indexed,http://www.ochsnerjournal.org/
Current Issues in Sport Science,Bern Open Publishing,No APC (DOAJ),Not Available,Not Indexed,https://bop.unibe.ch/ciss)
Journal of Psychosexual Health,SAGE Publishing,Free (MU Directory),Not Available,Not Indexed,https://journals.sagepub.com/home/ssh
The Internet Journal of Allied Health Sciences & Practice,Nova Southeastern University,No APC (DOAJ),Not Available,Not Indexed,http://nsuworks.nova.edu/ijahsp/
Australasian Journal of Neuroscience,Exeley Inc.,Free (MU Directory),Not Available,Not Indexed,https://www.exeley.com/journal/australasian_journal_of_neuroscience
Diversity of Research in Health Journal,Laurentian University Library & Archives,Free (MU Directory),Not Available,Not Indexed,https://pubs.biblio.laurentian.ca/index.php/drhj-rdrs
Brazilian Journal of Anesthesiology,Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/brazilian-journal-of-anesthesiology
EXCLI Journal : Experimental and Clinical Sciences,"IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund",No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.excli.de/
Dubai Diabetes and Endocrinology Journal,Karger Publishers,No APC (DOAJ),Not Available,Not Indexed,https://www.karger.com/dde
Journal of Pediatric and Neonatal Individualized Medicine,Hygeia Press di Corridori Marinella,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.jpnim.com/
Deutsche Zeitschrift für Sportmedizin,Dynamic Media Sales Verlag,No APC (DOAJ),Not Available,Likely Indexed (Website),https://www.germanjournalsportsmedicine.com/
Canadian Journal of Respiratory Therapy,Canadian Society of Respiratory Therapists,Free (MU Directory),Not Available,Indexed (Source File),https://www.cjrt.ca/
Bulletin of Faculty of Physical Therapy,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://bfpt.springeropen.com/
Emergency Care Journal,PAGEPress Publications,  (DOAJ),Not Available,Likely Indexed (Website),https://www.pagepressjournals.org/index.php/ecj
Global Health Research and Policy,BMC,  (DOAJ),Not Available,Indexed (Website),http://ghrp.biomedcentral.com/
SA Heart Journal,South African Heart Association,Free (MU Directory),Not Available,Not Indexed,http://www.journals.ac.za/index.php/SAHJ
Precision Nanomedicine,Andover House Inc.,Free (MU Directory),Not Available,Not Indexed,https://precisionnanomedicine.com/
Psychoradiology,Oxford University Press,No APC (DOAJ),Not Available,Not Indexed,https://academic.oup.com/psyrad
Patient Safety,Patient Safety Authority,No APC (DOAJ),Not Available,Not Indexed,https://patientsafetyj.com/
Journal of Regional Medical Campuses,University of Minnesota Libraries Publishing,Free (MU Directory),Not Available,Not Indexed,https://pubs.lib.umn.edu/index.php/jrmc/index
The Egyptian Journal of Bronchology,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://ejb.springeropen.com/
Italian Journal of Medicine,PAGEPress Publications,No APC (DOAJ),Not Available,Indexed (Website),http://www.italjmed.org/
