Journal Title,Publisher,ISSN,Review Time,APC,Scopus Indexing,Quartile,SJR,Source URL,Review Time Source,APC Source
Cultures of Science,SAGE Publishing,2633-3287,12 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/cul,journalsearches.com,DOAJ
Quantum Frontiers,Springer International Publishing,27316106,29 days,Free (MU Directory),Indexed,Q1,7,https://www.springer.com/journal/44214,Springer (Direct),MU Directory
Built Heritage,Springer Science and Business Media B.V.,"20963041, 26626802",23 days,Free (MU Directory),Indexed,Q1,12,https://built-heritage.springeropen.com,Springer (Direct),MU Directory
Holistic Integrative Oncology,Springer,2731-4529,51 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44178,Springer (Direct),DOAJ
Advances in Aerodynamics,Springer Nature,"20973462, 25246992",15 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Advances In Aerodynamics is 2.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.853,https://aia.springeropen.com/,Springer (Direct),MU Directory
eLight,Springer,"26628643, 20971710",5 days,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Elight is 32.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",11.392,https://elight.springeropen.com/,Springer (Direct),journalsearches.com
Advanced Gut & Microbiome Research,"Hindawi - Hangzhou Aimeida BioTech Gut MicrobiomeE-ISSN: 2632-2897Publisher: Cambridge University Press ENVIRONMENTAL MICROBIOMEE-ISSN: 2524-6372Publisher: BMC MICROBIOMEE-ISSN: 2049-2618Publisher: BMC ANIMAL MICROBIOMEE-ISSN: 2524-4671Publisher: BMC MicrobiomeE-ISSN: 2049-2618Publisher: BMC Animal MicrobiomeE-ISSN: 2524-4671Publisher: BMC Environmental MicrobiomeE-ISSN: 2524-6372Publisher: BMC Environmental MicrobiomeE-ISSN: 25246372Publisher: BioMed Central Ltd. Human Microbiome JournalE-ISSN: Publisher: Elsevier Limited MicrobiomeE-ISSN: 20492618Publisher: BioMed Central Animal MicrobiomeE-ISSN: 2524-4671Publisher: BioMed Central Environmental MicrobiomeE-ISSN: 2524-6372Publisher: BioMed Central MicrobiomeE-ISSN: 2049-2618Publisher: BioMed Central GUTE-ISSN: 1468-3288Publisher: BMJ PUBLISHING GROUPNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",Not Available,Not Available,Not Available,Not Indexed,Not Available,Not Available,Not Available,Aggregator,Unknown
Journal of Ocean Engineering and Science,Shanghai Jiaotong University,24680133,12 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Ocean Engineering And Science is 11.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.986,https://www.journals.elsevier.com/journal-of-ocean-engineering-and-science,journalsearches.com,journalsearches.com
Visual Intelligence,Springer,20973330,11 days,Free (Stated on Website),Indexed,Not Available,Not Available,https://link.springer.com/journal/44267,Springer (Direct),journalsearches.com
ECNU Review of Education,SAGE Publications Ltd,"20965311, 26321742",10 weeks,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Ecnu Review Of Education is 2.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.683,https://journals.sagepub.com/home/roe,journalsearches.com,MU Directory
