Journal Name,Publisher,APC,Review Time,Quartile,Scopus Status,Source URL
Central Asian Journal of Global Health,"University Library System, University of Pittsburgh",Free (MU Directory),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Central%20Asian%20Journal%20of%20Global%20Health
Journal of Pancreatology,Wolters Kluwer Health/LWW,Free (MU Directory),11 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Pancreatology
Breathe,European Respiratory Society,Free (MU Directory),Not Available,Q2,Indexed,https://journalsearches.com/journal.php?title=Breathe
The Ochsner Journal,Ochsner Clinic Foundation,No APC (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Ochsner%20Journal
Current Issues in Sport Science,Bern Open Publishing,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Current%20Issues%20in%20Sport%20Science
Spine Surgery and Related Research,The Japanese Society for Spine Surgery and Related Research,No APC (DOAJ),15 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Spine%20Surgery%20and%20Related%20Research
Journal of Pediatric and Neonatal Individualized Medicine,Hygeia Press di Corridori Marinella,No APC (DOAJ),12 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Pediatric%20and%20Neonatal%20Individualized%20Medicine
POCUS Journal,CINQUILL Medical Publishers Inc.,No APC (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=POCUS%20Journal
Health Technology Assessment,NIHR Journals Library,Free (MU Directory),53 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Health%20Technology%20Assessment
NSW Public Health Bulletin,Sax Institute,No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=NSW%20Public%20Health%20Bulletin
Brazilian Journal of Anesthesiology,Elsevier,No APC (DOAJ),51 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Brazilian%20Journal%20of%20Anesthesiology
Australasian Journal of Neuroscience,Exeley Inc.,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Australasian%20Journal%20of%20Neuroscience
The Internet Journal of Allied Health Sciences & Practice,Nova Southeastern University,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Internet%20Journal%20of%20Allied%20Health%20Sciences%20%26%20Practice
Journal of Psychosexual Health,SAGE Publishing,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Psychosexual%20Health
Diversity of Research in Health Journal,Laurentian University Library & Archives,Free (MU Directory),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Diversity%20of%20Research%20in%20Health%20Journal
Global Medical Genetics,Georg Thieme Verlag KG,1500 USD (DOAJ),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Global%20Medical%20Genetics
The Egyptian Journal of Bronchology,SpringerOpen,Free (MU Directory),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%20Bronchology
Bulletin of Faculty of Physical Therapy,SpringerOpen,Free (MU Directory),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Bulletin%20of%20Faculty%20of%20Physical%20Therapy
Dubai Diabetes and Endocrinology Journal,Karger Publishers,No APC (DOAJ),21 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Dubai%20Diabetes%20and%20Endocrinology%20Journal
Canadian Journal of Respiratory Therapy,Canadian Society of Respiratory Therapists,Free (MU Directory),9 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Canadian%20Journal%20of%20Respiratory%20Therapy
Italian Journal of Medicine,PAGEPress Publications,750 EUR (DOAJ),10 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Italian%20Journal%20of%20Medicine
EXCLI Journal : Experimental and Clinical Sciences,"IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund",No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=EXCLI%20Journal%20%3A%20Experimental%20and%20Clinical%20Sciences
Journal of Orthopaedic Translation,Elsevier,2000 USD (DOAJ),18 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Orthopaedic%20Translation
European Medical Journal Dermatology,European Medical Journal,Free (MU Directory),19 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Dermatology
SA Heart Journal,South African Heart Association,Free (MU Directory),7 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=SA%20Heart%20Journal
Precision Nanomedicine,Andover House Inc.,Free (MU Directory),3 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Precision%20Nanomedicine
