Journal Name,Publisher,Initial Link,ISSN,APC,Quartile,Scopus Status,Review Time
Allergologia et Immunopathologia,Codon Publications,https://www.journals.elsevier.com/allergologia-et-immunopathologia,Not Available,Unknown,Q3,Indexed,Not Available
Anaesthesia and Intensive Care,Zaslavsky O.Yu.,https://aaic.net.au/subscribers/,"2224-0586, 2307-1230",Has APC (See https://emergency-journal.com/index.php/journal/article-processing),Q2,Indexed,Not Available
Annals of Vascular Surgery,Elsevier,https://www.elsevier.com/journals/annals-of-vascular-surgery/0890-5096/open-access-options,2772-6878,Has APC (See https://www.sciencedirect.com/journal/annals-of-vascular-surgery-brief-reports-and-innovations/publish/open-access-options),Q2,Indexed,Not Available
International Heart Journal,Elsevier,http://square.umin.ac.jp/ihj/EN/Subscription.htm,2352-9067,Has APC (See https://www.sciencedirect.com/journal/ijc-heart-and-vasculature/publish/open-access-options),Q3,Indexed,Not Available
Heart and Vessels,Center for Scientific Research and Development of Education.,https://www.springer.com/journal/380/how-to-publish-with-us#Fees%20and%20Funding,"1694-7886, 1694-7894",Has APC (See http://hvt-journal.com/pages/aims-scope),Q3,Indexed,Not Available
Herz,Springer Medizin,https://www.springer.com/journal/59/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q3,Indexed,Not Available
Hand Surgery & Rehabilitation,"World Scientific Publishing Co OBERE EXTREMITAET-SCHULTER-ELLENBOGEN-HAND-UPPER EXTREMITY-SHOULDER ELBOW HANDE-ISSN: 1862-6602Publisher: SPRINGER HEIDELBERG HAND SURGERY & REHABILITATIONE-ISSN: 2468-1210Publisher: ELSEVIER Hand Surgery and RehabilitationE-ISSN: Publisher: Elsevier B.V. JOURNAL OF PLASTIC SURGERY AND HAND SURGERYE-ISSN: 2000-6764Publisher: TAYLOR & FRANCIS LTD CASE REPORTS IN PLASTIC SURGERY AND HAND SURGERYE-ISSN: 2332-0885Publisher: TAYLOR & FRANCIS LTD GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand SurgeryE-ISSN: 2193-7052Publisher: German Medical Science GMS Publishing House Case Reports in Plastic Surgery and Hand SurgeryE-ISSN: 23320885Publisher: Taylor and Francis Ltd. Journal of Plastic Surgery and Hand SurgeryE-ISSN: 20006764Publisher: Informa Healthcare Scandinavian Journal of Plastic and Reconstructive Surgery and Hand SurgeryE-ISSN: Publisher: Taylor & Francis Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery, SupplementE-ISSN: Publisher: Almgvist & Wiksells Case Reports in Plastic Surgery & Hand SurgeryE-ISSN: 2332-0885Publisher: Taylor & Francis JOURNAL OF HAND SURGERY-AMERICAN VOLUMEE-ISSN: 1531-6564Publisher: W B SAUNDERS CO-ELSEVIER INC JOURNAL OF HAND SURGERY-EUROPEAN VOLUMEE-ISSN: 2043-6289Publisher: SAGE PUBLICATIONS LTD JOURNAL OF HAND SURGERY-ASIAN-PACIFIC VOLUMEE-ISSN: 2424-8363Publisher: WORLD SCIENTIFIC PUBL CO PTE LTDNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.elsevier.com/journals/hand-surgery-and-rehabilitation/2468-1229/open-access-options,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Anatolian Journal of Cardiology,Turkish Society of Cardiology,https://anatoljcardiol.com/en/aims-and-scope-102,Not Available,Unknown,Q3,Indexed,12 weeks
Brazilian Journal of Cardiovascular Surgery,Sociedade Brasileira de Cirurgia Cardiovascular,https://www.bjcvs.org/,Not Available,Unknown,Q3,Indexed,20 weeks
Journal of Electrocardiology,Wiley,https://www.elsevier.com/journals/journal-of-electrocardiology/0022-0736/open-access-options,"1082-720X, 1542-474X",Has APC (See https://onlinelibrary.wiley.com/page/journal/homepage/1542474x/articlepublicationcharges.html),Q3,Indexed,Not Available
General Thoracic and Cardiovascular Surgery,Oxford University Press,https://www.springer.com/journal/11748/how-to-publish-with-us#Fees%20and%20Funding,2753-670X,Has APC (See https://academic.oup.com/icvts/pages/Submission_Online),Q2,Indexed,Not Available
Seminars in Vascular Surgery,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-vascular-surgery/0895-7967/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
