Journal Title,Publisher,ISSN,APC,Source URL,Review Time,Scopus Indexing,Quartile
Revista da ANPEGE,Universidade Federal da Grande Dourados,1679-768X,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20da%20ANPEGE,Not Available,Not Indexed,Not Available
REBIOL,"Facultad de Ciencias Biológicas, Universidad Nacional de Trujillo",2313-3171,Free (DOAJ),https://journalsearches.com/journal.php?title=REBIOL,Not Available,Not Indexed,Not Available
The Journal of Philosophical Economics,Editura ASE Bucuresti,1844-8208,Free (DOAJ),https://journalsearches.com/journal.php?title=The%20Journal%20of%20Philosophical%20Economics,Not Available,Not Indexed,Not Available
RUDN Journal of World History,Peoples’ Friendship University of Russia (RUDN University),2312-833X,Free (DOAJ),https://journalsearches.com/journal.php?title=RUDN%20Journal%20of%20World%20History,Not Available,Not Indexed,Not Available
E-Management,State University of Management,2686-8407,Free (DOAJ),https://journalsearches.com/journal.php?title=E-Management,Not Available,Not Indexed,Not Available
Bollettino Epidemiologico Nazionale,Istituto Superiore di Sanità,2724-3559,Free (DOAJ),https://journalsearches.com/journal.php?title=Bollettino%20Epidemiologico%20Nazionale,Not Available,Not Indexed,Not Available
Stoa,Universidad Veracruzana,2007-1868,Free (DOAJ),https://journalsearches.com/journal.php?title=Stoa,Not Available,Not Indexed,Not Available
Catalogue and Index,Chartered Institute of Library and Information Professionals (CILIP),2399-9667,Free (DOAJ + MU Directory),https://journalsearches.com/journal.php?title=Catalogue%20and%20Index,Not Available,Not Indexed,Not Available
Enfoques,Editorial Universidad Adventista del Plata,1669-2721,Free (DOAJ),https://journalsearches.com/journal.php?title=Enfoques,Not Available,Not Indexed,Not Available
Makara Journal of Science,Universitas Indonesia,2356-0851,Free (DOAJ),https://journalsearches.com/journal.php?title=Makara%20Journal%20of%20Science,Not Available,Not Indexed,Not Available
Ethnobiology Letters,Society of Ethnobiology,2159-8126,Free (DOAJ),https://journalsearches.com/journal.php?title=Ethnobiology%20Letters,Not Available,Not Indexed,Not Available
Revista Mad,Universidad de Chile,0718-0527,Free (DOAJ),https://journalsearches.com/journal.php?title=Revista%20Mad,Not Available,Not Indexed,Not Available
Cluj Veterinary Journal,University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca,2066-9399,Free (DOAJ),https://journalsearches.com/journal.php?title=Cluj%20Veterinary%20Journal,Not Available,Not Indexed,Not Available
Neimenggu dianli jishu,Editorial Office of Inner Mongolia Electric Power,1008-6218,Free (DOAJ),https://journalsearches.com/journal.php?title=Neimenggu%20dianli%20jishu,Not Available,Not Indexed,Not Available
Geodetski Vestnik,Association of Surveyors of Slovenia (Zveza geodetov Slovenije),1581-1328,Free (DOAJ),https://journalsearches.com/journal.php?title=Geodetski%20Vestnik,Not Available,Not Indexed,Not Available
Linguistica,University of Ljubljana Press (Založba Univerze v Ljubljani),2350-420X,Free (DOAJ),https://journalsearches.com/journal.php?title=Linguistica,Not Available,Not Indexed,Not Available
ELOPE,University of Ljubljana Press (Založba Univerze v Ljubljani),2386-0316,Free (DOAJ),https://journalsearches.com/journal.php?title=ELOPE,Not Available,Not Indexed,Not Available
The American Journal of Combinatorics,American Journal of Combinatorics,2768-4202,Free (DOAJ),https://journalsearches.com/journal.php?title=The%20American%20Journal%20of%20Combinatorics,Not Available,Not Indexed,Not Available
Redes (Canoas),Universidade La Salle,2318-8081,Free (DOAJ),https://journalsearches.com/journal.php?title=Redes%20%28Canoas%29,Not Available,Not Indexed,Not Available
Ibero-Americana Pragensia,Karolinum Press,2464-7063,Free (DOAJ),https://journalsearches.com/journal.php?title=Ibero-Americana%20Pragensia,Not Available,Not Indexed,Not Available
