title,publisher,review_time,quartile,free_or_not,url
IEEE Journal of Biomedical and Health Informatics,IEEE,8 Weeks,Q1,Free,https://askbisht.com/journals/ieee-journal-of-biomedical-and-health-informatics
Health Education and Health Promotion,Tarbiat Modares University,Not Found,Q4,Free,https://askbisht.com/journals/health-education-and-health-promotion
Asia Pacific Journal of Health Management,Australasian College of Health Service Management,8 Weeks,Q4,Free,https://askbisht.com/journals/asia-pacific-journal-of-health-management
Journal of Associated Medical Sciences,"Faculty of Associated Medical Sciences, Chiang Mai University",Not Found,Q4,Free,https://askbisht.com/journals/journal-of-associated-medical-sciences
Journal of Medical Systems,Springer Nature,8 Weeks,Q1,Free,https://askbisht.com/journals/journal-of-medical-systems
Chinese Journal of Health Management,Chinese Medical Journals Publishing House Co.Ltd,Not Found,Q4,Free,https://askbisht.com/journals/chinese-journal-of-health-management
Health Information Science and Systems,Springer Nature,8 Weeks,Q2,Free,https://askbisht.com/journals/health-information-science-and-systems
International Journal of Bioinformatics Research and Applications,Inderscience Publishers,Not Found,Q4,Free,https://askbisht.com/journals/international-journal-of-bioinformatics-research-and-applications
ACM Transactions on Computing for Healthcare,Association for Computing Machinery,8 Weeks,Q1,Free,https://askbisht.com/journals/acm-transactions-on-computing-for-healthcare
Applied Medical Informatics,Romanian Society for Applied Medical Informatics,Not Found,Not Found,Free,https://askbisht.com/journals/applied-medical-informatics
Methods of Information in Medicine,Thieme,8 Weeks,Q1,Free,https://askbisht.com/journals/methods-of-information-in-medicine
Telehealth and Medicine Today,Partners in Digital Health,Not Found,Q4,Free,https://askbisht.com/journals/telehealth-and-medicine-today
Healthcare (Switzerland),Multidisciplinary Digital Publishing Institute (MDPI),8 Weeks,Q2,Free,https://askbisht.com/journals/healthcare-switzerland
Statistical Methods in Medical Research,SAGE,8 Weeks,Q1,Free,https://askbisht.com/journals/statistical-methods-in-medical-research
Studies in Health Technology and Informatics,IOS Press,Not Found,Q3,Free,https://askbisht.com/journals/studies-in-health-technology-and-informatics
Patient Experience Journal,The Beryl Institute,Not Found,Q3,Free,https://askbisht.com/journals/patient-experience-journal
Telemedicine and e-Health,Mary Ann Liebert,8 Weeks,Q1,Free,https://askbisht.com/journals/telemedicine-and-e-health
Community and Physician,Turkish Medical Association,Not Found,Q3,Free,https://askbisht.com/journals/community-and-physician
International Journal of Reliable and Quality E-Healthcare,IGI Global Publishing,Not Found,Q3,Free,https://askbisht.com/journals/international-journal-of-reliable-and-quality-e-healthcare
International Journal of Statistics in Medical Research,Lifescience Global,Not Found,Q3,Free,https://askbisht.com/journals/international-journal-of-statistics-in-medical-research
Applied Clinical Informatics,Thieme,8 Weeks,Q2,Free,https://askbisht.com/journals/applied-clinical-informatics
Data and Metadata,AG Editor (Argentina),Not Found,Q3,Free,https://askbisht.com/journals/data-and-metadata
Journal of Health Administration,Iran University of Medical Sciences,Not Found,Q4,Free,https://askbisht.com/journals/journal-of-health-administration
Yearbook of Medical Informatics,Thieme,Not Found,Q3,Free,https://askbisht.com/journals/yearbook-of-medical-informatics
Journal of Hospital Management and Health Policy,AME Publishing Company,8 Weeks,Q3,Free,https://askbisht.com/journals/journal-of-hospital-management-and-health-policy
Hospital Practice,Taylor &amp; Francis,Not Found,Q3,Free,https://askbisht.com/journals/hospital-practice
International Journal of Telerehabilitation,Hawaii Pacific University Library,8 Weeks,Q2,Free,https://askbisht.com/journals/international-journal-of-telerehabilitation
Smart Health,Elsevier,Not Found,Q2,Free,https://askbisht.com/journals/smart-health
Health Data Matrix,Wolters Kluwer Health,Not Found,Not Found,Free,https://askbisht.com/journals/health-data-matrix
Health Information and Libraries Journal,John Wiley &amp; Sons,8 Weeks,Q1,Free,https://askbisht.com/journals/health-information-and-libraries-journal
Health Information Management Journal,SAGE,8 Weeks,Q1,Free,https://askbisht.com/journals/health-information-management-journal
Health Systems,Taylor &amp; Francis,8 Weeks,Q3,Free,https://askbisht.com/journals/health-systems
Journal on Information Technology in Healthcare,Optimum,Not Found,Not Found,Free,https://askbisht.com/journals/journal-on-information-technology-in-healthcare
Neuroscience Informatics,Elsevier,Not Found,Q1,Free,https://askbisht.com/journals/neuroscience-informatics
European Research in Telemedicine,Elsevier,Not Found,Not Found,Free,https://askbisht.com/journals/european-research-in-telemedicine
Revista Cubana de Informacion en Ciencias de la Salud,Centro Nacional de Informacion de Ciencias Medicas,Not Found,Q4,Free,https://askbisht.com/journals/revista-cubana-de-informacion-en-ciencias-de-la-salud
Revista Facultad Nacional de Salud Publica,Universidad de Antioquia,Not Found,Q4,Free,https://askbisht.com/journals/revista-facultad-nacional-de-salud-publica
Journal of Medicine Access,SAGE,8 Weeks,Q3,Free,https://askbisht.com/journals/journal-of-medicine-access
Morbidity and Mortality Weekly Report,Department of Health and Human Services,8 Weeks,Q1,Free,https://askbisht.com/journals/morbidity-and-mortality-weekly-report
Current Tissue Engineering,Bentham Science Publishers,Not Found,Not Found,Free,https://askbisht.com/journals/current-tissue-engineering
Informatics for Health and Social Care,Taylor &amp; Francis,8 Weeks,Q1,Free,https://askbisht.com/journals/informatics-for-health-and-social-care
Journal of Communication in Healthcare,Taylor &amp; Francis,8 Weeks,Q2,Free,https://askbisht.com/journals/journal-of-communication-in-healthcare
Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde,Bohn Stafleu van Loghum,Not Found,Q4,Free,https://askbisht.com/journals/tijdschrift-voor-bedrijfs-en-verzekeringsgeneeskunde
